Lote,Individuo,AE,LE,AT,LT,AA,LA,NV,Morfotipo,Labio
96,5,6.14,1.80,13.72,10.00,8.13,6.08,5.12,LU,1
96,6,6.54,2.18,11.66,9.21,6.66,4.93,5.47,LU,0
99,19,6.92,2.10,13.67,10.43,8.23,6.05,5.22,LU,0
99,20,6.50,1.91,12.51,9.53,6.33,5.80,5.29,LU,0
99,21,6.08,1.74,12.70,9.27,7.59,5.73,5.23,LU,1
99,22,6.50,1.94,12.81,9.80,7.60,5.68,5.26,LU,1
99,23,5.42,1.50,12.17,8.80,7.17,5.57,5.14,LU,1
99,24,6.30,1.90,11.83,9.11,6.80,5.52,5.32,LU,0
99,25,6.30,1.74,12.16,8.96,7.09,5.28,5.27,LU,1
99,26,6.26,2.33,11.32,9.12,6.67,4.81,5.32,LU,1
99,27,5.92,1.88,11.40,8.65,6.52,5.15,5.19,LU,0
101,1,6.66,2.11,12.85,10.08,7.16,6.04,5.21,LU,0
101,2,6.03,1.50,12.96,9.08,7.25,6.13,4.88,LU,1
101,3,4.87,1.43,10.18,8.03,6.25,5.11,4.86,LB,0
101,4,6.31,1.72,12.48,9.61,7.09,6.31,5.13,LU,0
101,5,6.54,2.09,12.91,9.80,7.26,5.30,5.33,LU,1
101,6,4.61,1.06,10.44,7.64,5.91,5.34,4.70,LU,0
101,7,6.96,2.33,14.30,10.65,8.41,5.95,5.33,LU,1
101,8,6.76,1.92,13.97,10.10,7.72,5.97,5.39,LU,1
101,9,7.07,2.24,13.55,10.87,7.97,5.97,5.31,LU,1
101,10,6.26,2.07,12.68,9.25,7.41,5.01,5.31,LU,1
101,11,6.01,1.83,12.38,9.24,7.37,5.63,5.46,LU,0
101,12,7.96,2.60,15.88,11.67,8.99,7.29,5.37,LU,0
101,13,6.24,1.53,12.76,9.30,7.82,6.06,5.23,LU,1
101,14,6.60,2.20,13.27,9.71,7.58,5.24,5.14,LU,1
101,15,6.09,2.08,13.86,8.97,8.37,5.38,4.93,LU,1
101,16,5.43,1.49,11.56,8.68,6.52,5.91,4.74,LU,0
101,17,5.76,1.74,12.26,9.27,7.34,6.20,4.71,LU,0
101,18,4.64,1.20,10.29,7.75,6.25,5.26,4.59,LU,0
101,19,4.66,1.39,10.07,7.29,5.60,4.68,4.88,LU,0
101,20,5.22,1.39,11.36,7.92,6.41,5.50,4.71,LU,0
101,21,5.50,1.85,12.14,8.88,6.83,5.77,4.83,LU,0
101,22,5.04,1.48,11.37,8.05,6.07,5.47,4.55,LU,0
101,23,5.18,1.45,11.76,8.20,6.61,5.63,4.71,LU,0
101,24,4.71,1.20,10.82,7.58,6.18,5.33,4.73,LU,0
101,25,4.24,1.28,9.34,7.30,5.69,4.79,5.06,LU,0
101,26,4.86,1.53,10.28,7.72,5.62,4.91,5.09,LU,0
101,27,5.35,1.73,10.81,9.16,7.09,5.66,5.24,LU,0
101,28,4.06,1.17,9.17,6.71,5.42,4.58,4.30,LU,0
101,29,3.96,1.21,8.94,6.77,5.38,4.46,4.64,LU,0
101,30,4.10,1.26,9.20,6.68,5.21,4.46,4.35,LU,0
101,31,3.38,0.89,8.05,6.24,5.56,4.27,4.06,LU,0
102,2,5.80,1.62,12.40,8.89,7.37,5.43,4.80,LU,1
117,1,7.07,1.73,15.04,10.57,8.96,6.67,5.27,LU,1
122,3,6.34,1.84,13.59,9.66,7.96,5.57,5.25,LU,1
122,8,5.90,1.85,12.11,9.55,6.95,5.99,5.10,LU,0
122,9,6.70,2.08,14.01,11.10,8.76,6.63,5.39,LU,1
122,10,6.88,2.05,15.19,10.98,8.98,6.79,5.27,LU,1
122,11,7.54,2.22,15.40,11.19,8.91,6.61,5.35,LU,0
122,12,7.45,2.06,15.30,11.64,9.13,7.23,5.25,LU,1
122,13,8.18,2.14,16.29,12.02,9.79,7.05,5.43,LU,1
122,14,7.77,2.42,14.72,11.33,8.34,6.47,5.44,LU,0
122,15,6.79,1.85,13.78,10.78,8.17,6.82,4.92,LU,0
122,16,7.45,2.23,15.49,11.36,8.64,6.62,5.55,LU,1
122,17,7.62,2.11,15.42,11.61,8.96,6.84,5.46,LU,1
122,18,6.92,1.97,16.07,11.19,9.00,7.30,4.98,LU,1
122,19,7.53,1.99,15.97,11.94,9.80,7.29,5.50,LU,1
122,20,7.23,1.79,14.48,10.94,8.60,6.76,5.13,LU,1
122,21,6.87,1.94,14.18,10.34,8.66,6.38,5.43,LU,1
122,22,6.80,2.03,14.48,9.87,8.43,5.88,5.36,LU,1
122,23,7.23,1.98,15.23,11.52,9.25,7.07,5.38,LU,1
122,24,6.59,1.90,13.55,10.02,7.59,5.88,5.18,LU,1
122,25,6.72,1.83,14.10,10.47,8.22,6.71,5.34,LU,1
122,26,6.93,1.96,13.67,9.82,7.76,5.65,5.21,LU,1
122,27,6.57,1.73,14.06,10.10,8.59,6.18,5.28,LU,1
122,28,6.44,1.91,13.51,10.20,8.47,6.43,5.49,LU,1
122,29,7.36,2.17,14.42,10.63,8.30,6.45,5.32,LU,0
122,30,6.06,1.78,12.47,9.13,7.13,5.29,5.13,LU,1
122,31,6.48,1.69,13.71,9.79,7.69,6.19,5.17,LU,0
122,32,5.94,1.63,12.56,9.44,7.46,5.82,5.11,LU,1
122,33,6.66,1.85,13.65,9.94,7.73,6.19,5.35,LU,0
122,34,5.34,1.48,11.20,8.20,6.44,5.24,4.98,LU,0
122,35,5.97,1.76,12.26,9.62,8.07,6.18,5.18,LU,0
122,36,6.32,1.64,13.03,9.83,7.06,6.48,5.00,LU,0
122,37,6.91,1.90,13.47,10.07,7.32,6.17,5.23,LU,0
122,38,6.06,1.54,13.67,9.47,8.45,6.34,4.91,LU,1
122,39,6.35,1.59,12.92,9.56,6.95,6.33,5.36,LU,0
122,40,5.35,1.52,11.41,8.51,6.58,5.66,4.94,LU,0
122,41,6.81,1.89,13.55,10.58,7.44,6.64,5.14,LU,0
122,42,6.03,1.70,11.92,9.11,7.22,5.46,5.13,LU,1
122,43,5.68,1.56,12.58,8.81,7.36,5.41,5.07,LU,1
122,44,6.24,1.75,13.16,9.70,7.77,6.08,5.24,LU,1
122,45,6.04,1.79,13.33,9.17,7.89,5.61,5.00,LU,1
122,46,7.46,2.00,15.04,11.46,8.68,7.18,5.46,LU,0
122,47,6.84,1.88,13.90,10.18,8.32,6.27,5.31,LU,1
122,48,4.91,1.32,11.12,8.09,7.53,5.38,4.94,LU,1
122,49,6.76,1.94,14.24,10.34,8.30,6.52,5.53,LU,1
122,50,5.84,1.82,12.27,8.80,7.15,4.98,5.18,LU,1
122,51,6.05,1.78,12.21,9.53,7.15,6.23,5.45,LU,0
122,52,5.59,1.41,12.22,8.73,7.33,5.94,4.02,LU,0
122,53,5.78,1.45,12.45,9.08,7.00,6.20,4.99,LU,0
122,54,6.11,1.50,12.90,9.43,7.13,6.38,4.92,LU,0
122,55,6.66,1.78,13.28,10.19,7.29,6.51,5.14,LU,0
122,56,6.67,1.71,14.02,10.45,7.93,6.70,5.41,LU,1
122,57,5.23,1.38,11.73,9.05,7.03,6.39,4.97,LU,0
122,58,5.57,1.33,11.92,8.84,7.58,6.02,4.97,LU,0
122,59,6.04,1.60,12.42,9.37,7.01,6.11,4.95,LU,0
122,60,5.31,1.49,11.43,8.54,6.46,5.67,4.84,LU,0
122,61,5.67,1.40,12.31,8.70,7.61,5.71,4.89,LU,1
122,62,4.61,1.23,10.95,7.32,6.60,4.94,4.49,LU,0
122,63,6.03,1.84,11.78,8.77,6.34,5.27,5.03,LU,0
122,64,5.70,1.23,12.44,8.63,6.77,5.99,5.69,LU,0
122,65,7.11,2.09,14.62,10.35,8.19,6.37,5.45,LU,1
122,66,5.99,1.78,13.09,8.66,7.06,5.69,5.09,LU,0
122,67,5.30,1.38,11.57,7.90,6.31,5.09,4.81,LU,0
122,68,4.71,1.55,10.23,8.00,5.77,5.36,4.44,LU,0
122,69,4.89,1.35,10.61,8.16,5.98,5.34,4.68,LU,0
122,70,5.02,1.40,10.98,7.83,6.45,5.12,4.53,LU,0
122,71,5.10,1.31,11.22,8.74,6.63,5.86,4.70,LU,0
122,72,5.78,1.43,11.82,8.26,6.04,5.07,4.91,LU,0
122,73,5.90,1.81,11.80,8.79,6.76,5.33,5.05,LU,0
122,74,6.53,2.26,12.62,9.95,7.22,5.28,5.28,LU,1
122,75,5.07,1.32,11.46,8.03,6.46,5.51,4.89,LU,0
122,76,7.41,2.24,14.64,11.30,8.47,6.65,5.15,LU,1
122,77,5.74,1.72,11.33,9.09,6.67,5.69,4.98,LB,0
122,78,5.34,1.56,11.09,8.08,5.98,5.29,4.87,LU,0
122,79,4.78,1.44,10.31,7.62,6.06,4.69,4.93,LU,0
122,80,6.40,1.73,13.33,9.68,7.99,5.95,5.38,LU,1
122,81,4.41,1.31,9.79,7.52,5.23,4.93,4.88,LU,0
122,82,6.54,1.98,12.94,10.59,7.97,6.74,5.31,LU,0
122,83,5.22,1.59,10.81,7.95,6.21,5.03,4.98,LU,0
122,84,5.17,1.48,10.77,8.47,5.81,5.43,4.90,LU,0
122,85,4.85,1.15,10.68,7.71,6.33,5.34,4.80,LU,0
122,86,5.80,1.85,10.94,8.63,6.25,5.08,5.14,LU,0
122,87,4.77,1.19,10.33,7.75,6.11,5.40,4.78,LU,0
122,88,5.41,1.50,11.20,8.20,6.21,5.20,4.80,LU,0
122,89,5.06,1.31,10.82,7.97,6.16,5.34,5.07,LU,0
122,90,4.37,0.99,10.39,7.29,6.15,5.38,4.64,LU,0
122,91,5.40,1.56,12.09,8.85,6.49,5.85,4.71,LU,0
122,92,5.21,1.68,10.46,7.81,5.83,4.77,4.85,LU,0
122,93,5.30,1.31,11.90,8.60,6.31,5.84,4.83,LU,0
122,94,5.42,1.55,11.59,8.51,6.62,5.71,5.04,LU,0
122,95,5.46,1.70,11.38,8.06,6.04,4.96,4.98,LU,0
122,96,5.84,1.85,11.30,9.33,6.17,5.85,5.00,LU,0
128,3,5.59,1.65,12.37,9.10,7.38,6.13,5.20,LU,0
128,4,6.97,3.13,14.20,10.59,7.90,6.58,5.20,LU,0
128,5,6.90,2.19,14.86,11.02,9.17,7.19,5.24,LB,1
128,6,6.76,1.94,15.06,11.67,8.55,7.86,5.25,LB,0
128,7,7.31,2.32,16.32,12.24,9.12,7.99,5.25,LB,0
128,8,7.05,2.15,15.31,11.26,9.50,6.97,5.40,LB,1
128,9,4.86,1.87,11.04,8.72,6.74,5.51,4.91,LB,0
128,10,5.09,1.70,10.64,8.05,5.60,5.30,4.64,LB,0
128,11,6.03,1.74,12.70,9.39,7.00,6.14,4.96,LB,0
128,12,5.93,1.87,13.08,9.61,7.84,5.90,5.02,LB,1
128,14,5.10,1.45,11.43,8.46,6.77,5.76,4.64,LU,0
128,15,5.09,1.17,11.28,7.78,5.68,5.68,4.66,LU,0
128,16,4.48,1.33,10.88,8.43,6.92,5.97,4.86,LU,0
128,17,4.50,1.47,9.78,7.64,5.70,4.95,4.60,LU,0
128,18,4.32,1.27,10.01,7.58,6.16,5.21,4.54,LU,0
128,19,4.58,1.23,10.77,7.92,5.90,6.08,4.55,LB,0
133,1,8.00,2.28,15.82,11.50,8.55,6.77,5.90,LU,0
144,4,7.02,2.29,14.14,11.00,8.38,6.22,5.44,LU,1
144,5,6.64,1.80,15.46,11.32,9.40,7.10,5.54,LU,1
144,6,5.96,1.83,13.12,9.40,7.35,5.47,5.31,LU,1
144,7,6.37,2.01,12.96,10.66,7.72,6.53,5.38,LU,0
144,8,6.08,1.92,12.48,9.17,7.19,5.44,5.22,LU,0
144,9,7.26,2.11,15.43,11.04,9.20,6.71,5.32,LU,1
144,10,5.73,1.71,12.79,9.56,7.86,5.98,4.94,LU,1
144,11,6.87,2.01,14.60,10.17,8.57,5.91,5.55,LU,1
144,12,5.32,1.47,11.91,8.35,6.52,5.60,4.93,LU,0
144,13,5.99,1.71,13.10,9.45,7.63,5.57,5.19,LU,1
144,14,6.03,1.46,13.45,9.49,7.65,6.22,4.97,LU,1
144,15,6.53,2.07,12.34,10.03,7.28,5.33,5.55,LU,1
144,16,6.60,2.23,13.82,9.91,8.38,5.59,5.29,LU,1
144,17,5.86,1.88,11.99,9.00,6.63,5.48,5.04,LU,0
144,18,6.11,1.72,13.23,9.51,7.51,5.85,5.11,LU,0
144,19,7.31,2.30,14.55,10.76,8.17,5.90,5.47,LU,1
144,20,5.36,1.55,12.43,8.16,7.34,5.73,5.09,LU,1
144,21,7.53,2.09,16.16,11.74,9.70,6.98,5.46,LU,1
144,22,6.42,1.67,14.00,10.08,8.10,6.12,5.24,LU,1
