Lote,Individuo,AE,LE,AT,LT,AA,LA,NV,Morfotipo,Ratio_LE_AE,Ratio_LT_AT,Ratio_LA_AA,Ratio_LE_LT,Ratio_AE_AT,Ratio_LA_LT,Ratio_AA_AT,Ratio_LE_LA,Ratio_AE_AA
99,19,6.92,2.1,13.67,10.43,8.23,6.05,5.22,LU,0.3034682080924856,0.7629846378931968,0.7351154313487241,0.20134228187919465,0.5062179956108266,0.5800575263662512,0.6020482809070958,0.34710743801652894,0.8408262454434994
99,20,6.5,1.91,12.51,9.53,6.33,5.8,5.29,LU,0.2938461538461538,0.7617905675459632,0.9162717219589257,0.20041972717733475,0.5195843325339728,0.608604407135362,0.5059952038369304,0.3293103448275862,1.0268562401263823
99,21,6.08,1.74,12.7,9.27,7.59,5.73,5.23,LU,0.28618421052631576,0.7299212598425197,0.7549407114624507,0.1877022653721683,0.478740157480315,0.6181229773462784,0.5976377952755906,0.3036649214659686,0.8010540184453229
99,22,6.5,1.94,12.81,9.8,7.6,5.68,5.26,LU,0.29846153846153844,0.7650273224043717,0.7473684210526316,0.19795918367346937,0.507416081186573,0.5795918367346938,0.5932864949258392,0.3415492957746479,0.8552631578947368
99,23,5.42,1.5,12.17,8.8,7.17,5.57,5.14,LU,0.2767527675276753,0.723089564502876,0.7768479776847979,0.17045454545454544,0.44535743631881675,0.6329545454545454,0.5891536565324569,0.26929982046678635,0.7559274755927475
99,24,6.3,1.9,11.83,9.11,6.8,5.52,5.32,LU,0.30158730158730157,0.7700760777683854,0.8117647058823529,0.20856201975850713,0.5325443786982248,0.605927552140505,0.5748098055790364,0.34420289855072467,0.9264705882352942
99,25,6.3,1.74,12.16,8.96,7.09,5.28,5.27,LU,0.2761904761904762,0.736842105263158,0.7447108603667137,0.19419642857142855,0.5180921052631579,0.5892857142857143,0.5830592105263158,0.32954545454545453,0.8885754583921015
99,26,6.26,2.33,11.32,9.12,6.67,4.81,5.32,LU,0.3722044728434505,0.8056537102473498,0.7211394302848575,0.2554824561403509,0.5530035335689045,0.5274122807017544,0.5892226148409894,0.48440748440748443,0.9385307346326837
99,27,5.92,1.88,11.4,8.65,6.52,5.15,5.19,LU,0.31756756756756754,0.7587719298245614,0.789877300613497,0.21734104046242772,0.519298245614035,0.5953757225433526,0.5719298245614034,0.3650485436893203,0.9079754601226995
101,1,6.66,2.11,12.85,10.08,7.16,6.04,5.21,LU,0.3168168168168168,0.7844357976653696,0.8435754189944134,0.2093253968253968,0.5182879377431907,0.5992063492063492,0.5571984435797666,0.3493377483443708,0.9301675977653632
101,2,6.03,1.5,12.96,9.08,7.25,6.13,5.34,LU,0.24875621890547261,0.7006172839506173,0.8455172413793103,0.16519823788546256,0.4652777777777778,0.6751101321585903,0.5594135802469136,0.24469820554649266,0.8317241379310345
101,3,4.87,1.43,10.18,8.03,6.25,5.11,5.3,LU,0.29363449691991783,0.7888015717092337,0.8176000000000001,0.17808219178082194,0.4783889980353635,0.6363636363636365,0.6139489194499018,0.27984344422700586,0.7792
101,4,6.31,1.72,12.48,9.61,7.09,6.31,5.13,LU,0.27258320126782887,0.7700320512820512,0.8899858956276445,0.17898022892819979,0.5056089743589743,0.6566077003121749,0.5681089743589743,0.27258320126782887,0.8899858956276445
101,5,6.54,2.09,12.91,9.8,7.26,5.3,5.08,LU,0.31957186544342503,0.7591014717273432,0.7300275482093664,0.21326530612244896,0.506584043377227,0.5408163265306122,0.5623547637490317,0.3943396226415094,0.9008264462809917
101,6,4.61,1.06,10.44,7.64,5.91,5.34,5.13,LU,0.2299349240780911,0.7318007662835249,0.9035532994923857,0.1387434554973822,0.4415708812260537,0.6989528795811518,0.5660919540229885,0.19850187265917604,0.7800338409475466
101,7,6.96,2.33,14.3,10.65,8.41,5.95,5.07,LU,0.33477011494252873,0.7447552447552448,0.7074910820451843,0.2187793427230047,0.4867132867132867,0.5586854460093896,0.5881118881118881,0.3915966386554622,0.8275862068965517
101,8,6.76,1.92,13.97,10.1,7.72,5.97,5.14,LU,0.28402366863905326,0.7229778095919828,0.7733160621761658,0.1900990099009901,0.48389405869720825,0.5910891089108911,0.5526127415891195,0.32160804020100503,0.8756476683937824
