Lote,Individuo,AE,LE,AT,LT,AA,LA,NV,Morfotipo,Labio
96,5,6.18,1.83,13.57,10.00,8.10,6.04,5.15,LU,1
96,5,6.16,1.83,13.66,10.08,8.16,6.13,5.12,LU,1
96,5,6.14,1.81,13.61,10.01,8.20,6.14,5.10,LU,1
96,5,6.18,1.82,13.85,10.07,8.16,6.14,5.09,LU,1
96,6,6.58,2.16,11.69,9.10,6.56,4.92,5.49,LU,0
96,6,6.59,2.19,11.53,9.17,6.61,4.88,5.47,LU,0
96,6,6.51,2.15,11.67,9.12,6.69,4.96,5.48,LU,0
96,6,6.61,2.15,11.73,9.27,6.71,4.87,5.45,LU,0
99,19,6.91,2.09,13.80,10.30,8.16,6.05,5.22,LU,0
99,19,6.90,2.09,13.76,10.41,8.23,6.07,5.21,LU,0
99,19,6.92,2.08,13.61,10.51,8.24,6.10,5.22,LU,0
99,19,6.87,2.10,13.58,10.31,8.28,6.02,5.19,LU,0
99,20,6.53,1.89,12.49,9.41,6.44,5.81,5.28,LU,0
99,20,6.57,1.91,12.46,9.63,6.26,5.75,5.27,LU,0
99,20,6.42,1.88,12.45,9.64,6.22,5.81,5.28,LU,0
99,20,6.54,1.88,12.67,9.59,6.36,5.76,5.31,LU,0
99,21,6.05,1.73,12.60,9.15,7.56,5.70,5.21,LU,1
99,21,6.11,1.73,12.61,9.25,7.63,5.74,5.23,LU,1
99,21,6.04,1.71,12.79,9.20,7.48,5.70,5.21,LU,1
99,21,6.07,1.71,12.73,9.23,7.51,5.72,5.25,LU,1
99,22,6.50,1.92,12.89,9.81,7.61,5.70,5.29,LU,1
99,22,6.43,1.93,12.97,9.71,7.66,5.72,5.29,LU,1
99,22,6.48,1.92,12.92,9.71,7.61,5.72,5.27,LU,1
99,22,6.48,1.94,12.88,9.89,7.52,5.65,5.24,LU,1
99,23,5.33,1.49,12.26,8.71,7.24,5.53,5.15,LU,1
99,23,5.44,1.51,12.12,8.78,7.20,5.56,5.16,LU,1
99,23,5.34,1.50,12.10,8.80,7.16,5.57,5.13,LU,1
99,23,5.50,1.48,12.16,8.76,7.17,5.63,5.16,LU,1
